audio_id,caption,jh,mark,,remove
female_singing_01_01,female singing.,jh,?,,0
female_singing_02_01,The sound of female singing.,jh,?,,0
female_singing_03_01,An audio clip of female singing.,jh,?,,0
playing_harpsichord_01_01,playing harpsichord.,jh,?,music,1
playing_harpsichord_02_01,The sound of playing harpsichord.,jh,?,music,1
playing_harpsichord_03_01,An audio clip of playing harpsichord.,jh,?,music,1
male_speech_man_speaking_01_01,"male speech, man speaking.",jh,1,,0
male_speech_man_speaking_02_01,"The sound of male speech, man speaking.",jh,1,,0
male_speech_man_speaking_03_01,"An audio clip of male speech, man speaking.",jh,1,,0
playing_bassoon_01_01,playing bassoon.,jh,?,music,1
playing_bassoon_02_01,The sound of playing bassoon.,jh,?,music,1
playing_bassoon_03_01,An audio clip of playing bassoon.,jh,?,music,1
playing_piano_01_01,playing piano.,jh,?,music,1
playing_piano_02_01,The sound of playing piano.,jh,?,music,1
playing_piano_03_01,An audio clip of playing piano.,jh,?,music,1
people_clapping_01_01,people clapping.,jh,1,,0
people_clapping_02_01,The sound of people clapping.,jh,1,,0
people_clapping_03_01,An audio clip of people clapping.,jh,1,,0
bee_wasp_etc._buzzing_01_01,"bee, wasp, etc. buzzing.",jh,1,,0
bee_wasp_etc._buzzing_02_01,"The sound of bee, wasp, etc. buzzing.",jh,1,,0
bee_wasp_etc._buzzing_03_01,"An audio clip of bee, wasp, etc. buzzing.",jh,1,,0
baby_babbling_01_01,baby babbling.,jh,1,,0
baby_babbling_02_01,The sound of baby babbling.,jh,1,,0
baby_babbling_03_01,An audio clip of baby babbling.,jh,1,,0
people_whispering_01_01,people whispering.,jh,not working,,1
people_whispering_02_01,The sound of people whispering.,jh,not working,,1
people_whispering_03_01,An audio clip of people whispering.,jh,not working,,1
coyote_howling_01_01,coyote howling.,jh,1,,0
coyote_howling_02_01,The sound of coyote howling.,jh,1,,0
coyote_howling_03_01,An audio clip of coyote howling.,jh,1,,0
metronome_01_01,metronome.,jh,not working,,1
metronome_02_01,The sound of metronome.,jh,not working,,1
metronome_03_01,An audio clip of metronome.,jh,not working,,1
playing_harp_01_01,playing harp.,jh,?,music,1
playing_harp_02_01,The sound of playing harp.,jh,?,music,1
playing_harp_03_01,An audio clip of playing harp.,jh,?,music,1
airplane_01_01,airplane.,jh,1,background,0
airplane_02_01,The sound of airplane.,jh,1,,0
airplane_03_01,An audio clip of airplane.,jh,1,,0
rope_skipping_01_01,rope skipping.,jh,not working,,1
rope_skipping_02_01,The sound of rope skipping.,jh,not working,,1
rope_skipping_03_01,An audio clip of rope skipping.,jh,not working,,1
ambulance_siren_01_01,ambulance siren.,jh,1,just siren,0
ambulance_siren_02_01,The sound of ambulance siren.,jh,1,,0
ambulance_siren_03_01,An audio clip of ambulance siren.,jh,1,,0
people_coughing_01_01,people coughing.,jh,1,,0
people_coughing_02_01,The sound of people coughing.,jh,1,,0
people_coughing_03_01,An audio clip of people coughing.,jh,1,,0
pheasant_crowing_01_01,pheasant crowing.,jh,1,,0
pheasant_crowing_02_01,The sound of pheasant crowing.,jh,1,,0
pheasant_crowing_03_01,An audio clip of pheasant crowing.,jh,1,,0
bird_wings_flapping_01_01,bird wings flapping.,jh,1,,0
bird_wings_flapping_02_01,The sound of bird wings flapping.,jh,1,,0
bird_wings_flapping_03_01,An audio clip of bird wings flapping.,jh,1,,0
cap_gun_shooting_01_01,cap gun shooting.,jh,1,,0
cap_gun_shooting_02_01,The sound of cap gun shooting.,jh,1,,0
cap_gun_shooting_03_01,An audio clip of cap gun shooting.,jh,1,,0
child_singing_01_01,child singing.,jh,?,,0
child_singing_02_01,The sound of child singing.,jh,?,,0
child_singing_03_01,An audio clip of child singing.,jh,?,,0
race_car_auto_racing_01_01,"race car, auto racing.",jh,1,,0
race_car_auto_racing_02_01,"The sound of race car, auto racing.",jh,1,,0
race_car_auto_racing_03_01,"An audio clip of race car, auto racing.",jh,1,,0
male_singing_01_01,male singing.,jh,?,,0
male_singing_02_01,The sound of male singing.,jh,?,,0
male_singing_03_01,An audio clip of male singing.,jh,?,,0
playing_bass_guitar_01_01,playing bass guitar.,jh,?,music,1
playing_bass_guitar_02_01,The sound of playing bass guitar.,jh,?,music,1
playing_bass_guitar_03_01,An audio clip of playing bass guitar.,jh,?,music,1
playing_violin_fiddle_01_01,"playing violin, fiddle.",jh,?,music,1
playing_violin_fiddle_02_01,"The sound of playing violin, fiddle.",jh,?,music,1
playing_violin_fiddle_03_01,"An audio clip of playing violin, fiddle.",jh,?,music,1
playing_bongo_01_01,playing bongo.,jh,?,music,1
playing_bongo_02_01,The sound of playing bongo.,jh,?,music,1
playing_bongo_03_01,An audio clip of playing bongo.,jh,?,music,1
playing_erhu_01_01,playing erhu.,jh,?,music,1
playing_erhu_02_01,The sound of playing erhu.,jh,?,music,1
playing_erhu_03_01,An audio clip of playing erhu.,jh,?,music,1
tap_dancing_01_01,tap dancing.,jh,1,,0
tap_dancing_02_01,The sound of tap dancing.,jh,1,,0
tap_dancing_03_01,An audio clip of tap dancing.,jh,1,,0
playing_electronic_organ_01_01,playing electronic organ.,jh,?,music,1
playing_electronic_organ_02_01,The sound of playing electronic organ.,jh,?,music,1
playing_electronic_organ_03_01,An audio clip of playing electronic organ.,jh,?,music,1
playing_congas_01_01,playing congas.,jh,?,music,1
playing_congas_02_01,The sound of playing congas.,jh,?,music,1
playing_congas_03_01,An audio clip of playing congas.,jh,?,music,1
subway_metro_underground_01_01,"subway, metro, underground.",jh,1,background,0
subway_metro_underground_02_01,"The sound of subway, metro, underground.",jh,1,,0
subway_metro_underground_03_01,"An audio clip of subway, metro, underground.",jh,1,,0
car_passing_by_01_01,car passing by.,jh,1,,0
car_passing_by_02_01,The sound of car passing by.,jh,1,,0
car_passing_by_03_01,An audio clip of car passing by.,jh,1,,0
orchestra_01_01,orchestra.,jh,?,music,1
orchestra_02_01,The sound of orchestra.,jh,?,music,1
orchestra_03_01,An audio clip of orchestra.,jh,?,music,1
playing_acoustic_guitar_01_01,playing acoustic guitar.,jh,?,music,1
playing_acoustic_guitar_02_01,The sound of playing acoustic guitar.,jh,?,music,1
playing_acoustic_guitar_03_01,An audio clip of playing acoustic guitar.,jh,?,music,1
hammering_nails_01_01,hammering nails.,jh,1,,0
hammering_nails_02_01,The sound of hammering nails.,jh,1,,0
hammering_nails_03_01,An audio clip of hammering nails.,jh,1,,0
duck_quacking_01_01,duck quacking.,jh,1,,0
duck_quacking_02_01,The sound of duck quacking.,jh,1,,0
duck_quacking_03_01,An audio clip of duck quacking.,jh,1,,0
playing_harmonica_01_01,playing harmonica.,jh,?,music,1
playing_harmonica_02_01,The sound of playing harmonica.,jh,?,music,1
playing_harmonica_03_01,An audio clip of playing harmonica.,jh,?,music,1
dog_growling_01_01,dog growling.,jh,1,,0
dog_growling_02_01,The sound of dog growling.,jh,1,,0
dog_growling_03_01,An audio clip of dog growling.,jh,1,,0
church_bell_ringing_01_01,church bell ringing.,jh,1,,0
church_bell_ringing_02_01,The sound of church bell ringing.,jh,1,,0
church_bell_ringing_03_01,An audio clip of church bell ringing.,jh,1,,0
playing_table_tennis_01_01,playing table tennis.,jh,1,similar to other sports,0
playing_table_tennis_02_01,The sound of playing table tennis.,jh,1,,0
playing_table_tennis_03_01,An audio clip of playing table tennis.,jh,1,,0
skateboarding_01_01,skateboarding.,jh,1,,0
skateboarding_02_01,The sound of skateboarding.,jh,1,,0
skateboarding_03_01,An audio clip of skateboarding.,jh,1,,0
playing_steel_guitar_slide_guitar_01_01,"playing steel guitar, slide guitar.",jh,?,music,1
playing_steel_guitar_slide_guitar_02_01,"The sound of playing steel guitar, slide guitar.",jh,?,music,1
playing_steel_guitar_slide_guitar_03_01,"An audio clip of playing steel guitar, slide guitar.",jh,?,music,1
playing_squash_01_01,playing squash.,jh,1,similar to other sports,0
playing_squash_02_01,The sound of playing squash.,jh,1,,0
playing_squash_03_01,An audio clip of playing squash.,jh,1,,0
playing_bass_drum_01_01,playing bass drum.,jh,?,music,1
playing_bass_drum_02_01,The sound of playing bass drum.,jh,?,music,1
playing_bass_drum_03_01,An audio clip of playing bass drum.,jh,?,music,1
police_radio_chatter_01_01,police radio chatter.,jh,1,,0
police_radio_chatter_02_01,The sound of police radio chatter.,jh,1,,0
police_radio_chatter_03_01,An audio clip of police radio chatter.,jh,1,,0
horse_clip-clop_01_01,horse clip-clop.,jh,1,,0
horse_clip-clop_02_01,The sound of horse clip-clop.,jh,1,,0
horse_clip-clop_03_01,An audio clip of horse clip-clop.,jh,1,,0
horse_neighing_01_01,horse neighing.,jh,1,,0
horse_neighing_02_01,The sound of horse neighing.,jh,1,,0
horse_neighing_03_01,An audio clip of horse neighing.,jh,1,,0
playing_double_bass_01_01,playing double bass.,jh,?,music,1
playing_double_bass_02_01,The sound of playing double bass.,jh,?,music,1
playing_double_bass_03_01,An audio clip of playing double bass.,jh,?,music,1
playing_cello_01_01,playing cello.,jh,?,music,1
playing_cello_02_01,The sound of playing cello.,jh,?,music,1
playing_cello_03_01,An audio clip of playing cello.,jh,?,music,1
people_booing_01_01,people booing.,jh,not working,,1
people_booing_02_01,The sound of people booing.,jh,not working,,1
people_booing_03_01,An audio clip of people booing.,jh,not working,,1
playing_electric_guitar_01_01,playing electric guitar.,jh,?,music,1
playing_electric_guitar_02_01,The sound of playing electric guitar.,jh,?,music,1
playing_electric_guitar_03_01,An audio clip of playing electric guitar.,jh,?,music,1
raining_01_01,raining.,jh,1,background,0
raining_02_01,The sound of raining.,jh,1,,0
raining_03_01,An audio clip of raining.,jh,1,,0
gibbon_howling_01_01,gibbon howling.,jh,1,,0
gibbon_howling_02_01,The sound of gibbon howling.,jh,1,,0
gibbon_howling_03_01,An audio clip of gibbon howling.,jh,1,,0
toilet_flushing_01_01,toilet flushing.,jh,1,,0
toilet_flushing_02_01,The sound of toilet flushing.,jh,1,,0
toilet_flushing_03_01,An audio clip of toilet flushing.,jh,1,,0
missile_launch_01_01,missile launch.,jh,?,,0
missile_launch_02_01,The sound of missile launch.,jh,?,,0
missile_launch_03_01,An audio clip of missile launch.,jh,?,,0
driving_buses_01_01,driving buses.,jh,1,background,0
driving_buses_02_01,The sound of driving buses.,jh,1,,0
driving_buses_03_01,An audio clip of driving buses.,jh,1,,0
motorboat_speedboat_acceleration_01_01,"motorboat, speedboat acceleration.",jh,1,,0
motorboat_speedboat_acceleration_02_01,"The sound of motorboat, speedboat acceleration.",jh,1,,0
motorboat_speedboat_acceleration_03_01,"An audio clip of motorboat, speedboat acceleration.",jh,1,,0
playing_didgeridoo_01_01,playing didgeridoo.,jh,?,music,1
playing_didgeridoo_02_01,The sound of playing didgeridoo.,jh,?,music,1
playing_didgeridoo_03_01,An audio clip of playing didgeridoo.,jh,?,music,1
playing_glockenspiel_01_01,playing glockenspiel.,jh,?,music,1
playing_glockenspiel_02_01,The sound of playing glockenspiel.,jh,?,music,1
playing_glockenspiel_03_01,An audio clip of playing glockenspiel.,jh,?,music,1
skiing_01_01,skiing.,jh,not good,,0
skiing_02_01,The sound of skiing.,jh,not good,,0
skiing_03_01,An audio clip of skiing.,jh,not good,,0
playing_oboe_01_01,playing oboe.,jh,?,music,1
playing_oboe_02_01,The sound of playing oboe.,jh,?,music,1
playing_oboe_03_01,An audio clip of playing oboe.,jh,?,music,1
arc_welding_01_01,arc welding.,jh,not good,,0
arc_welding_02_01,The sound of arc welding.,jh,not good,,0
arc_welding_03_01,An audio clip of arc welding.,jh,not good,,0
sheep_bleating_01_01,sheep bleating.,jh,1,,0
sheep_bleating_02_01,The sound of sheep bleating.,jh,1,,0
sheep_bleating_03_01,An audio clip of sheep bleating.,jh,1,,0
chimpanzee_pant-hooting_01_01,chimpanzee pant-hooting.,jh,not working,need to merge some animal sounds,1
chimpanzee_pant-hooting_02_01,The sound of chimpanzee pant-hooting.,jh,not working,,1
chimpanzee_pant-hooting_03_01,An audio clip of chimpanzee pant-hooting.,jh,not working,,1
playing_cornet_01_01,playing cornet.,jh,?,music,1
playing_cornet_02_01,The sound of playing cornet.,jh,?,music,1
playing_cornet_03_01,An audio clip of playing cornet.,jh,?,music,1
lighting_firecrackers_01_01,lighting firecrackers.,jh,1,,0
lighting_firecrackers_02_01,The sound of lighting firecrackers.,jh,1,,0
lighting_firecrackers_03_01,An audio clip of lighting firecrackers.,jh,1,,0
bowling_impact_01_01,bowling impact.,jh,1,sport,0
bowling_impact_02_01,The sound of bowling impact.,jh,1,,0
bowling_impact_03_01,An audio clip of bowling impact.,jh,1,,0
cow_lowing_01_01,cow lowing.,jh,1,,0
cow_lowing_02_01,The sound of cow lowing.,jh,1,,0
cow_lowing_03_01,An audio clip of cow lowing.,jh,1,,0
planing_timber_01_01,planing timber.,jh,1,,0
planing_timber_02_01,The sound of planing timber.,jh,1,,0
planing_timber_03_01,An audio clip of planing timber.,jh,1,,0
people_finger_snapping_01_01,people finger snapping.,jh,not working,,1
people_finger_snapping_02_01,The sound of people finger snapping.,jh,not working,,1
people_finger_snapping_03_01,An audio clip of people finger snapping.,jh,not working,,1
pigeon_dove_cooing_01_01,"pigeon, dove cooing.",jh,1,animal,0
pigeon_dove_cooing_02_01,"The sound of pigeon, dove cooing.",jh,1,,0
pigeon_dove_cooing_03_01,"An audio clip of pigeon, dove cooing.",jh,1,,0
fire_crackling_01_01,fire crackling.,jh,1,,0
fire_crackling_02_01,The sound of fire crackling.,jh,1,,0
fire_crackling_03_01,An audio clip of fire crackling.,jh,1,,0
playing_tabla_01_01,playing tabla.,jh,?,music,1
playing_tabla_02_01,The sound of playing tabla.,jh,?,music,1
playing_tabla_03_01,An audio clip of playing tabla.,jh,?,music,1
cupboard_opening_or_closing_01_01,cupboard opening or closing.,jh,1,,0
cupboard_opening_or_closing_02_01,The sound of cupboard opening or closing.,jh,1,,0
cupboard_opening_or_closing_03_01,An audio clip of cupboard opening or closing.,jh,1,,0
crow_cawing_01_01,crow cawing.,jh,1,,0
crow_cawing_02_01,The sound of crow cawing.,jh,1,,0
crow_cawing_03_01,An audio clip of crow cawing.,jh,1,,0
vehicle_horn_car_horn_honking_01_01,"vehicle horn, car horn, honking.",jh,1,,0
vehicle_horn_car_horn_honking_02_01,"The sound of vehicle horn, car horn, honking.",jh,1,,0
vehicle_horn_car_horn_honking_03_01,"An audio clip of vehicle horn, car horn, honking.",jh,1,,0
playing_washboard_01_01,playing washboard.,jh,?,music,1
playing_washboard_02_01,The sound of playing washboard.,jh,?,music,1
playing_washboard_03_01,An audio clip of playing washboard.,jh,?,music,1
fire_truck_siren_01_01,fire truck siren.,jh,1,,0
fire_truck_siren_02_01,The sound of fire truck siren.,jh,1,,0
fire_truck_siren_03_01,An audio clip of fire truck siren.,jh,1,,0
pumping_water_01_01,pumping water.,jh,1,,0
pumping_water_02_01,The sound of pumping water.,jh,1,,0
pumping_water_03_01,An audio clip of pumping water.,jh,1,,0
cat_growling_01_01,cat growling.,jh,1,large cat,0
cat_growling_02_01,The sound of cat growling.,jh,1,,0
cat_growling_03_01,An audio clip of cat growling.,jh,1,,0
beat_boxing_01_01,beat boxing.,jh,not good,,0
beat_boxing_02_01,The sound of beat boxing.,jh,not good,,0
beat_boxing_03_01,An audio clip of beat boxing.,jh,not good,,0
playing_bagpipes_01_01,playing bagpipes.,jh,?,music,1
playing_bagpipes_02_01,The sound of playing bagpipes.,jh,?,music,1
playing_bagpipes_03_01,An audio clip of playing bagpipes.,jh,?,music,1
playing_trumpet_01_01,playing trumpet.,jh,?,music,1
playing_trumpet_02_01,The sound of playing trumpet.,jh,?,music,1
playing_trumpet_03_01,An audio clip of playing trumpet.,jh,?,music,1
woodpecker_pecking_tree_01_01,woodpecker pecking tree.,jh,not good,,0
woodpecker_pecking_tree_02_01,The sound of woodpecker pecking tree.,jh,not good,,0
woodpecker_pecking_tree_03_01,An audio clip of woodpecker pecking tree.,jh,not good,,0
playing_banjo_01_01,playing banjo.,jh,?,music,1
playing_banjo_02_01,The sound of playing banjo.,jh,?,music,1
playing_banjo_03_01,An audio clip of playing banjo.,jh,?,music,1
people_crowd_01_01,people crowd.,jh,1,,0
people_crowd_02_01,The sound of people crowd.,jh,1,,0
people_crowd_03_01,An audio clip of people crowd.,jh,1,,0
chicken_crowing_01_01,chicken crowing.,jh,1,,0
chicken_crowing_02_01,The sound of chicken crowing.,jh,1,,0
chicken_crowing_03_01,An audio clip of chicken crowing.,jh,1,,0
rowboat_canoe_kayak_rowing_01_01,"rowboat, canoe, kayak rowing.",jh,1,,0
rowboat_canoe_kayak_rowing_02_01,"The sound of rowboat, canoe, kayak rowing.",jh,1,,0
rowboat_canoe_kayak_rowing_03_01,"An audio clip of rowboat, canoe, kayak rowing.",jh,1,,0
forging_swords_01_01,forging swords.,jh,not good,,0
forging_swords_02_01,The sound of forging swords.,jh,not good,,0
forging_swords_03_01,An audio clip of forging swords.,jh,not good,,0
footsteps_on_snow_01_01,footsteps on snow.,jh,not good,,0
footsteps_on_snow_02_01,The sound of footsteps on snow.,jh,not good,,0
footsteps_on_snow_03_01,An audio clip of footsteps on snow.,jh,not good,,0
driving_motorcycle_01_01,driving motorcycle.,jh,1,,0
driving_motorcycle_02_01,The sound of driving motorcycle.,jh,1,,0
driving_motorcycle_03_01,An audio clip of driving motorcycle.,jh,1,,0
owl_hooting_01_01,owl hooting.,jh,1,,0
owl_hooting_02_01,The sound of owl hooting.,jh,1,,0
owl_hooting_03_01,An audio clip of owl hooting.,jh,1,,0
mosquito_buzzing_01_01,mosquito buzzing.,jh,1,,0
mosquito_buzzing_02_01,The sound of mosquito buzzing.,jh,1,,0
mosquito_buzzing_03_01,An audio clip of mosquito buzzing.,jh,1,,0
air_horn_01_01,air horn.,jh,1,,0
air_horn_02_01,The sound of air horn.,jh,1,,0
air_horn_03_01,An audio clip of air horn.,jh,1,,0
child_speech_kid_speaking_01_01,"child speech, kid speaking.",jh,1,may need to merge with other voice,0
child_speech_kid_speaking_02_01,"The sound of child speech, kid speaking.",jh,1,,0
child_speech_kid_speaking_03_01,"An audio clip of child speech, kid speaking.",jh,1,,0
slot_machine_01_01,slot machine.,jh,1,,0
slot_machine_02_01,The sound of slot machine.,jh,1,,0
slot_machine_03_01,An audio clip of slot machine.,jh,1,,0
lions_growling_01_01,lions growling.,jh,1,,0
lions_growling_02_01,The sound of lions growling.,jh,1,,0
lions_growling_03_01,An audio clip of lions growling.,jh,1,,0
playing_flute_01_01,playing flute.,jh,?,music,1
playing_flute_02_01,The sound of playing flute.,jh,?,music,1
playing_flute_03_01,An audio clip of playing flute.,jh,?,music,1
playing_synthesizer_01_01,playing synthesizer.,jh,?,music,1
playing_synthesizer_02_01,The sound of playing synthesizer.,jh,?,music,1
playing_synthesizer_03_01,An audio clip of playing synthesizer.,jh,?,music,1
railroad_car_train_wagon_01_01,"railroad car, train wagon.",jh,complex,,0
railroad_car_train_wagon_02_01,"The sound of railroad car, train wagon.",jh,complex,,0
railroad_car_train_wagon_03_01,"An audio clip of railroad car, train wagon.",jh,complex,,0
car_engine_knocking_01_01,car engine knocking.,jh,1,,0
car_engine_knocking_02_01,The sound of car engine knocking.,jh,1,,0
car_engine_knocking_03_01,An audio clip of car engine knocking.,jh,1,,0
playing_accordion_01_01,playing accordion.,jh,?,,0
playing_accordion_02_01,The sound of playing accordion.,jh,?,,0
playing_accordion_03_01,An audio clip of playing accordion.,jh,?,,0
sharpen_knife_01_01,sharpen knife.,jh,not working,,1
sharpen_knife_02_01,The sound of sharpen knife.,jh,not working,,1
sharpen_knife_03_01,An audio clip of sharpen knife.,jh,not working,,1
playing_drum_kit_01_01,playing drum kit.,jh,?,music,1
playing_drum_kit_02_01,The sound of playing drum kit.,jh,?,music,1
playing_drum_kit_03_01,An audio clip of playing drum kit.,jh,?,music,1
playing_trombone_01_01,playing trombone.,jh,?,music,1
playing_trombone_02_01,The sound of playing trombone.,jh,?,music,1
playing_trombone_03_01,An audio clip of playing trombone.,jh,?,music,1
train_whistling_01_01,train whistling.,jh,1,,0
train_whistling_02_01,The sound of train whistling.,jh,1,,0
train_whistling_03_01,An audio clip of train whistling.,jh,1,,0
reversing_beeps_01_01,reversing beeps.,jh,mixed,,0
reversing_beeps_02_01,The sound of reversing beeps.,jh,mixed,,0
reversing_beeps_03_01,An audio clip of reversing beeps.,jh,mixed,,0
singing_choir_01_01,singing choir.,jh,?,,0
singing_choir_02_01,The sound of singing choir.,jh,?,,0
singing_choir_03_01,An audio clip of singing choir.,jh,?,,0
chainsawing_trees_01_01,chainsawing trees.,jh,1,,0
chainsawing_trees_02_01,The sound of chainsawing trees.,jh,1,,0
chainsawing_trees_03_01,An audio clip of chainsawing trees.,jh,1,,0
printer_printing_01_01,printer printing.,jh,1,,0
printer_printing_02_01,The sound of printer printing.,jh,1,,0
printer_printing_03_01,An audio clip of printer printing.,jh,1,,0
chicken_clucking_01_01,chicken clucking.,jh,1,,0
chicken_clucking_02_01,The sound of chicken clucking.,jh,1,,0
chicken_clucking_03_01,An audio clip of chicken clucking.,jh,1,,0
underwater_bubbling_01_01,underwater bubbling.,jh,not good,,0
underwater_bubbling_02_01,The sound of underwater bubbling.,jh,not good,,0
underwater_bubbling_03_01,An audio clip of underwater bubbling.,jh,not good,,0
people_nose_blowing_01_01,people nose blowing.,jh,1,,0
people_nose_blowing_02_01,The sound of people nose blowing.,jh,1,,0
people_nose_blowing_03_01,An audio clip of people nose blowing.,jh,1,,0
ice_cracking_01_01,ice cracking.,jh,1,,0
ice_cracking_02_01,The sound of ice cracking.,jh,1,,0
ice_cracking_03_01,An audio clip of ice cracking.,jh,1,,0
playing_lacrosse_01_01,playing lacrosse.,jh,1,,0
playing_lacrosse_02_01,The sound of playing lacrosse.,jh,1,,0
playing_lacrosse_03_01,An audio clip of playing lacrosse.,jh,1,,0
playing_timpani_01_01,playing timpani.,jh,?,music,1
playing_timpani_02_01,The sound of playing timpani.,jh,?,music,1
playing_timpani_03_01,An audio clip of playing timpani.,jh,?,music,1
tapping_guitar_01_01,tapping guitar.,jh,?,music,1
tapping_guitar_02_01,The sound of tapping guitar.,jh,?,music,1
tapping_guitar_03_01,An audio clip of tapping guitar.,jh,?,music,1
turkey_gobbling_01_01,turkey gobbling.,jh,1,,0
turkey_gobbling_02_01,The sound of turkey gobbling.,jh,1,,0
turkey_gobbling_03_01,An audio clip of turkey gobbling.,jh,1,,0
door_slamming_01_01,door slamming.,jh,1,,0
door_slamming_02_01,The sound of door slamming.,jh,1,,0
door_slamming_03_01,An audio clip of door slamming.,jh,1,,0
playing_saxophone_01_01,playing saxophone.,jh,?,music,1
playing_saxophone_02_01,The sound of playing saxophone.,jh,?,music,1
playing_saxophone_03_01,An audio clip of playing saxophone.,jh,?,music,1
playing_french_horn_01_01,playing french horn.,jh,?,music,1
playing_french_horn_02_01,The sound of playing french horn.,jh,?,music,1
playing_french_horn_03_01,An audio clip of playing french horn.,jh,?,music,1
sea_waves_01_01,sea waves.,jh,1,background,0
sea_waves_02_01,The sound of sea waves.,jh,1,,0
sea_waves_03_01,An audio clip of sea waves.,jh,1,,0
playing_clarinet_01_01,playing clarinet.,jh,?,music,1
playing_clarinet_02_01,The sound of playing clarinet.,jh,?,music,1
playing_clarinet_03_01,An audio clip of playing clarinet.,jh,?,music,1
using_sewing_machines_01_01,using sewing machines.,jh,1,,0
using_sewing_machines_02_01,The sound of using sewing machines.,jh,1,,0
using_sewing_machines_03_01,An audio clip of using sewing machines.,jh,1,,0
vacuum_cleaner_cleaning_floors_01_01,vacuum cleaner cleaning floors.,jh,1,,0
vacuum_cleaner_cleaning_floors_02_01,The sound of vacuum cleaner cleaning floors.,jh,1,,0
vacuum_cleaner_cleaning_floors_03_01,An audio clip of vacuum cleaner cleaning floors.,jh,1,,0
playing_castanets_01_01,playing castanets.,jh,?,music,1
playing_castanets_02_01,The sound of playing castanets.,jh,?,music,1
playing_castanets_03_01,An audio clip of playing castanets.,jh,?,music,1
pig_oinking_01_01,pig oinking.,jh,1,,0
pig_oinking_02_01,The sound of pig oinking.,jh,1,,0
pig_oinking_03_01,An audio clip of pig oinking.,jh,1,,0
lawn_mowing_01_01,lawn mowing.,jh,1,,0
lawn_mowing_02_01,The sound of lawn mowing.,jh,1,,0
lawn_mowing_03_01,An audio clip of lawn mowing.,jh,1,,0
basketball_bounce_01_01,basketball bounce.,jh,1,,0
basketball_bounce_02_01,The sound of basketball bounce.,jh,1,,0
basketball_bounce_03_01,An audio clip of basketball bounce.,jh,1,,0
eletric_blender_running_01_01,eletric blender running.,jh,1,,0
eletric_blender_running_02_01,The sound of eletric blender running.,jh,1,,0
eletric_blender_running_03_01,An audio clip of eletric blender running.,jh,1,,0
thunder_01_01,thunder.,jh,1,,0
thunder_02_01,The sound of thunder.,jh,1,,0
thunder_03_01,An audio clip of thunder.,jh,1,,0
dog_whimpering_01_01,dog whimpering.,jh,1,,0
dog_whimpering_02_01,The sound of dog whimpering.,jh,1,,0
dog_whimpering_03_01,An audio clip of dog whimpering.,jh,1,,0
car_engine_idling_01_01,car engine idling.,jh,1,,0
car_engine_idling_02_01,The sound of car engine idling.,jh,1,,0
car_engine_idling_03_01,An audio clip of car engine idling.,jh,1,,0
people_sobbing_01_01,people sobbing.,jh,not good,,0
people_sobbing_02_01,The sound of people sobbing.,jh,not good,,0
people_sobbing_03_01,An audio clip of people sobbing.,jh,not good,,0
playing_theremin_01_01,playing theremin.,jh,?,music,1
playing_theremin_02_01,The sound of playing theremin.,jh,?,music,1
